"participant","trial","is_anomaly_trial","anomaly_line_id","anomaly_group","selected_line_1","selected_line_2","selected_line_3","num_contiguous","num_non_contiguous","total_contiguous","anomaly_proportion","non_anomaly_proportion"
82,79,"True","r1c2_bottom_left",0,"r2c0_right","r1c0_bottom_left","r2c1_bottom_left",0,3,6,0,0.2
82,81,"True","r1c1_right",0,"r2c3_bottom_right","r0c2_bottom_right","r0c2_bottom_left",2,1,8,0.25,0.0769230769230769
82,82,"True","r0c2_bottom_left",2,"r1c3_bottom_left","r0c2_bottom_right","r2c3_bottom_right",1,2,4,0.25,0.117647058823529
82,83,"True","r2c2_bottom_right",2,"r2c0_bottom_right","r0c0_bottom_right","r0c3_bottom_right",0,3,4,0,0.176470588235294
82,87,"True","r1c0_bottom_right",1,"r0c0_bottom_right","r1c2_bottom_right","r0c1_right",1,2,6,0.166666666666667,0.133333333333333
82,88,"True","r2c1_bottom_right",2,"r1c0_bottom_right","r1c2_bottom_left","r0c3_bottom_right",1,2,4,0.25,0.117647058823529
82,92,"True","r2c1_right",0,"r1c1_bottom_right","r2c1_bottom_right","r0c2_bottom_left",2,1,8,0.25,0.0769230769230769
82,93,"True","r1c0_bottom_right",1,"r2c0_bottom_right","r2c3_bottom_right","r2c1_bottom_right",1,2,6,0.166666666666667,0.133333333333333
82,94,"True","r1c0_right",1,"r0c3_bottom_left","r0c2_right","r1c1_bottom_left",1,2,8,0.125,0.153846153846154
82,99,"True","r1c1_right",0,"r2c2_bottom_right","r1c2_bottom_right","r0c1_bottom_right",2,1,8,0.25,0.0769230769230769
83,5,"True","r1c1_right",0,"r0c2_bottom_right","r1c2_bottom_right","r0c1_bottom_right",3,0,8,0.375,0
83,9,"True","r2c1_bottom_right",2,"r0c1_bottom_left","r0c2_bottom_left","r0c1_right",0,3,4,0,0.176470588235294
83,10,"True","r1c1_bottom_left",0,"r1c1_right","r0c2_bottom_left","r1c0_bottom_right",2,1,6,0.333333333333333,0.0666666666666667
83,18,"True","r1c0_bottom_right",1,"r0c0_bottom_right","r1c2_bottom_left","r1c0_bottom_left",2,1,6,0.333333333333333,0.0666666666666667
83,19,"True","r1c0_bottom_right",1,"r1c1_bottom_right","r2c1_bottom_left","r2c1_bottom_right",2,1,6,0.333333333333333,0.0666666666666667
83,23,"True","r1c1_right",0,"r2c3_bottom_left","r0c0_bottom_right","r0c1_bottom_right",1,2,8,0.125,0.153846153846154
83,24,"True","r1c1_bottom_left",0,"r2c0_right","r2c1_bottom_right","r0c3_bottom_right",1,2,6,0.166666666666667,0.133333333333333
83,28,"True","r1c0_right",1,"r2c1_bottom_left","r2c2_bottom_right","r2c2_bottom_left",0,3,8,0,0.230769230769231
83,32,"True","r1c1_bottom_left",0,"r1c2_bottom_left","r0c3_bottom_left","r2c1_bottom_left",1,2,6,0.166666666666667,0.133333333333333
83,33,"True","r0c2_bottom_right",2,"r1c0_bottom_right","r2c2_bottom_right","r1c3_bottom_left",0,3,4,0,0.176470588235294
83,36,"True","r0c2_bottom_left",2,"r0c1_bottom_left","r1c1_bottom_left","r0c2_bottom_right",2,1,4,0.5,0.0588235294117647
83,38,"True","r1c1_bottom_right",0,"r0c2_bottom_left","r1c1_bottom_left","r2c1_bottom_left",2,1,6,0.333333333333333,0.0666666666666667
83,42,"True","r1c2_bottom_right",1,"r1c1_right","r0c2_bottom_left","r0c1_bottom_right",0,3,6,0,0.2
83,48,"True","r1c2_bottom_right",1,"r0c1_bottom_right","r1c0_bottom_right","r1c0_bottom_left",0,3,6,0,0.2
83,49,"True","r2c1_right",0,"r2c0_bottom_right","r0c3_bottom_right","r2c2_bottom_right",1,2,8,0.125,0.153846153846154
83,52,"True","r1c0_right",1,"r2c1_bottom_left","r0c3_bottom_left","r2c3_bottom_left",0,3,8,0,0.230769230769231
83,54,"True","r1c1_bottom_left",0,"r1c2_bottom_left","r0c2_bottom_left","r2c1_bottom_right",2,1,6,0.333333333333333,0.0666666666666667
83,59,"True","r0c2_bottom_right",2,"r1c1_bottom_right","r2c1_bottom_left","r1c2_bottom_left",1,2,4,0.25,0.117647058823529
83,72,"True","r1c1_bottom_right",0,"r1c0_bottom_left","r1c0_bottom_right","r1c2_bottom_right",0,3,6,0,0.2
83,75,"True","r1c1_bottom_right",0,"r1c1_bottom_left","r1c2_right","r1c0_bottom_right",1,2,6,0.166666666666667,0.133333333333333
83,76,"True","r0c1_bottom_right",2,"r2c1_bottom_right","r1c1_bottom_right","r1c2_bottom_right",1,2,4,0.25,0.117647058823529
83,77,"True","r2c2_bottom_right",2,"r1c1_bottom_left","r1c1_bottom_right","r2c1_bottom_right",1,2,4,0.25,0.117647058823529
83,78,"True","r2c2_bottom_left",2,"r2c1_bottom_left","r1c0_bottom_right","r1c1_bottom_left",0,3,4,0,0.176470588235294
83,80,"True","r2c1_bottom_right",2,"r1c0_bottom_right","r2c1_bottom_left","r2c2_bottom_left",3,0,4,0.75,0
83,83,"True","r0c2_bottom_right",2,"r0c1_bottom_right","r0c3_bottom_right","r0c0_bottom_right",0,3,4,0,0.176470588235294
83,91,"True","r1c2_bottom_right",1,"r0c2_bottom_left","r1c0_bottom_right","r2c1_right",0,3,6,0,0.2
83,93,"True","r0c2_bottom_left",2,"r1c0_bottom_right","r0c1_bottom_left","r0c3_bottom_right",0,3,4,0,0.176470588235294
83,99,"True","r2c1_bottom_right",2,"r1c1_right","r1c2_bottom_right","r2c3_bottom_right",0,3,4,0,0.176470588235294
84,1,"True","r1c2_bottom_left",0,"r1c0_right","r1c1_bottom_right","r0c3_bottom_right",1,2,6,0.166666666666667,0.133333333333333
84,3,"True","r2c2_right",1,"r2c2_bottom_left","r2c3_bottom_right","r2c0_bottom_right",2,1,8,0.25,0.0769230769230769
84,5,"True","r1c0_bottom_right",1,"r2c0_right","r0c1_bottom_right","r0c1_bottom_left",1,2,6,0.166666666666667,0.133333333333333
84,6,"True","r0c2_bottom_left",2,"r0c1_bottom_right","r1c1_bottom_right","r2c1_bottom_right",2,1,4,0.5,0.0588235294117647
84,7,"True","r0c2_bottom_left",2,"r0c0_bottom_right","r1c0_bottom_right","r1c2_right",0,3,4,0,0.176470588235294
84,10,"True","r0c2_bottom_left",2,"r2c1_bottom_right","r0c0_bottom_right","r0c3_bottom_left",0,3,4,0,0.176470588235294
84,11,"True","r0c2_bottom_right",2,"r1c2_bottom_left","r1c0_bottom_left","r0c0_bottom_right",1,2,4,0.25,0.117647058823529
84,14,"True","r0c2_bottom_right",2,"r2c1_bottom_left","r1c1_bottom_left","r2c2_right",0,3,4,0,0.176470588235294
84,18,"True","r1c1_right",0,"r1c2_bottom_right","r0c1_right","r1c2_right",1,2,8,0.125,0.153846153846154
84,37,"True","r0c1_bottom_right",2,"r0c1_bottom_left","r2c3_bottom_left","r1c1_right",1,2,4,0.25,0.117647058823529
84,44,"True","r1c1_right",0,"r1c2_bottom_right","r2c1_bottom_right","r0c3_bottom_left",2,1,8,0.25,0.0769230769230769
84,48,"True","r2c2_bottom_left",2,"r3c1_right","r2c2_bottom_right","r3c0_right",1,2,4,0.25,0.117647058823529
84,49,"True","r1c0_right",1,"r0c2_right","r0c0_bottom_right","r1c2_right",1,2,8,0.125,0.153846153846154
84,51,"True","r0c2_bottom_left",2,"r2c2_bottom_left","r0c1_bottom_left","r1c2_right",0,3,4,0,0.176470588235294
84,53,"True","r2c1_right",0,"r0c1_bottom_left","r0c2_right","r0c3_bottom_left",0,3,8,0,0.230769230769231
84,57,"True","r0c2_bottom_left",2,"r1c0_bottom_left","r1c2_bottom_right","r1c1_bottom_right",1,2,4,0.25,0.117647058823529
84,58,"True","r2c2_bottom_right",2,"r2c3_bottom_right","r1c3_bottom_left","r0c3_bottom_right",0,3,4,0,0.176470588235294
84,63,"True","r2c1_bottom_right",2,"r0c1_bottom_right","r0c2_bottom_right","r2c2_bottom_left",1,2,4,0.25,0.117647058823529
84,64,"True","r1c0_bottom_right",1,"r0c1_bottom_left","r2c1_bottom_right","r2c1_bottom_left",3,0,6,0.5,0
84,71,"True","r1c0_right",1,"r2c0_bottom_right","r2c2_right","r0c1_right",0,3,8,0,0.230769230769231
84,84,"True","r1c0_right",1,"r2c2_bottom_left","r1c2_bottom_right","r0c2_bottom_right",0,3,8,0,0.230769230769231
84,85,"True","r1c2_bottom_right",1,"r2c2_bottom_right","r3c1_right","r2c0_bottom_right",0,3,6,0,0.2
84,89,"True","r2c2_bottom_left",2,"r1c2_bottom_left","r0c1_bottom_left","r0c3_bottom_left",1,2,4,0.25,0.117647058823529
84,93,"True","r1c1_bottom_right",0,"r2c1_right","r0c1_bottom_left","r0c1_bottom_right",1,2,6,0.166666666666667,0.133333333333333
85,2,"True","r1c1_right",0,"r1c1_bottom_left","r1c2_bottom_right","r0c1_bottom_left",2,1,8,0.25,0.0769230769230769
85,3,"True","r2c1_bottom_right",2,"r2c2_bottom_right","r2c3_bottom_right","r1c2_bottom_right",0,3,4,0,0.176470588235294
85,10,"True","r2c2_right",1,"r1c1_bottom_right","r0c2_bottom_left","r0c3_bottom_left",1,2,8,0.125,0.153846153846154
85,14,"True","r0c2_bottom_right",2,"r1c1_bottom_right","r1c0_bottom_left","r1c2_bottom_left",1,2,4,0.25,0.117647058823529
85,17,"True","r2c2_bottom_right",2,"r1c1_bottom_right","r1c0_bottom_right","r0c1_bottom_left",1,2,4,0.25,0.117647058823529
85,24,"True","r0c2_bottom_right",2,"r3c1_right","r1c0_bottom_left","r0c1_bottom_left",0,3,4,0,0.176470588235294
85,30,"True","r1c1_right",0,"r2c1_bottom_right","r1c3_bottom_left","r0c2_bottom_right",1,2,8,0.125,0.153846153846154
85,35,"True","r2c1_bottom_right",2,"r2c1_bottom_left","r1c0_bottom_left","r1c0_bottom_right",2,1,4,0.5,0.0588235294117647
85,39,"True","r1c2_bottom_right",1,"r1c1_bottom_left","r0c3_bottom_right","r2c1_bottom_left",0,3,6,0,0.2
85,40,"True","r2c2_bottom_left",2,"r2c1_bottom_right","r1c0_bottom_right","r0c1_bottom_right",1,2,4,0.25,0.117647058823529
85,42,"True","r1c2_bottom_right",1,"r1c2_bottom_left","r2c2_bottom_right","r2c3_bottom_left",2,1,6,0.333333333333333,0.0666666666666667
85,44,"True","r0c2_bottom_right",2,"r2c2_right","r2c1_bottom_right","r0c3_bottom_right",0,3,4,0,0.176470588235294
85,45,"True","r0c2_bottom_right",2,"r1c1_right","r1c2_right","r3c1_right",0,3,4,0,0.176470588235294
85,47,"True","r0c1_bottom_right",2,"r2c2_right","r1c1_bottom_right","r2c0_bottom_right",1,2,4,0.25,0.117647058823529
85,50,"True","r1c0_bottom_right",1,"r2c1_right","r1c1_bottom_right","r0c1_bottom_left",1,2,6,0.166666666666667,0.133333333333333
85,53,"True","r1c1_bottom_left",0,"r2c1_bottom_right","r2c0_bottom_right","r0c2_bottom_right",1,2,6,0.166666666666667,0.133333333333333
85,55,"True","r0c2_bottom_left",2,"r0c2_bottom_right","r2c2_bottom_right","r2c1_bottom_left",1,2,4,0.25,0.117647058823529
85,62,"True","r1c2_bottom_right",1,"r1c1_bottom_right","r0c1_bottom_left","r0c2_bottom_left",0,3,6,0,0.2
85,73,"True","r1c1_right",0,"r1c1_bottom_left","r1c2_bottom_right","r0c2_bottom_right",3,0,8,0.375,0
85,76,"True","r1c1_right",0,"r2c3_bottom_right","r0c0_right","r2c1_bottom_left",0,3,8,0,0.230769230769231
85,80,"True","r1c1_right",0,"r0c2_bottom_right","r1c2_bottom_right","r2c3_bottom_left",2,1,8,0.25,0.0769230769230769
85,85,"True","r1c2_bottom_right",1,"r2c2_bottom_left","r0c1_bottom_right","r2c2_bottom_right",0,3,6,0,0.2
85,86,"True","r1c0_right",1,"r1c1_bottom_right","r0c1_bottom_right","r2c2_bottom_right",2,1,8,0.25,0.0769230769230769
85,97,"True","r1c2_bottom_left",0,"r0c2_bottom_left","r1c1_bottom_right","r2c1_bottom_left",1,2,6,0.166666666666667,0.133333333333333
86,1,"True","r1c1_right",0,"r0c2_bottom_left","r1c3_bottom_left","r2c3_bottom_right",1,2,8,0.125,0.153846153846154
86,2,"True","r2c2_bottom_right",2,"r0c2_bottom_right","r0c1_bottom_left","r1c0_bottom_left",0,3,4,0,0.176470588235294
86,5,"True","r1c1_bottom_left",0,"r0c2_bottom_left","r0c1_bottom_left","r1c1_bottom_right",2,1,6,0.333333333333333,0.0666666666666667
86,7,"True","r2c2_bottom_left",2,"r1c1_bottom_right","r2c1_bottom_right","r0c3_bottom_right",2,1,4,0.5,0.0588235294117647
86,10,"True","r1c0_right",1,"r0c3_bottom_right","r2c1_bottom_right","r0c0_bottom_right",1,2,8,0.125,0.153846153846154
86,19,"True","r2c2_bottom_right",2,"r2c1_bottom_right","r1c3_bottom_left","r1c1_bottom_right",1,2,4,0.25,0.117647058823529
86,22,"True","r2c2_right",1,"r1c2_bottom_left","r1c3_bottom_left","r0c0_right",2,1,8,0.25,0.0769230769230769
86,23,"True","r1c0_right",1,"r1c0_bottom_left","r0c2_bottom_right","r0c3_bottom_right",1,2,8,0.125,0.153846153846154
86,27,"True","r1c0_right",1,"r2c3_bottom_left","r0c2_bottom_left","r0c1_bottom_left",2,1,8,0.25,0.0769230769230769
86,31,"True","r2c1_right",0,"r0c1_bottom_left","r1c1_right","r0c2_bottom_left",0,3,8,0,0.230769230769231
86,37,"True","r0c2_bottom_right",2,"r2c2_bottom_left","r0c1_bottom_right","r2c3_bottom_left",0,3,4,0,0.176470588235294
86,42,"True","r2c2_right",1,"r1c3_bottom_left","r0c2_bottom_left","r0c3_bottom_right",1,2,8,0.125,0.153846153846154
86,45,"True","r1c2_bottom_left",0,"r0c1_bottom_left","r1c3_bottom_left","r2c0_bottom_right",0,3,6,0,0.2
86,49,"True","r1c1_bottom_left",0,"r2c2_right","r0c0_right","r3c0_right",0,3,6,0,0.2
86,50,"True","r2c1_right",0,"r1c1_bottom_left","r0c1_bottom_right","r0c3_bottom_right",1,2,8,0.125,0.153846153846154
86,57,"True","r2c2_right",1,"r0c2_bottom_left","r2c0_right","r1c2_bottom_right",1,2,8,0.125,0.153846153846154
86,63,"True","r2c2_right",1,"r1c1_right","r2c1_bottom_right","r1c3_bottom_left",1,2,8,0.125,0.153846153846154
86,68,"True","r0c2_bottom_left",2,"r2c1_bottom_left","r2c2_bottom_left","r2c3_bottom_right",0,3,4,0,0.176470588235294
86,73,"True","r1c0_right",1,"r1c0_bottom_left","r2c1_bottom_right","r2c3_bottom_left",1,2,8,0.125,0.153846153846154
86,78,"True","r1c0_bottom_right",1,"r2c3_bottom_right","r2c1_bottom_left","r2c1_bottom_right",2,1,6,0.333333333333333,0.0666666666666667
86,80,"True","r2c1_bottom_right",2,"r1c2_bottom_right","r0c1_bottom_right","r1c0_bottom_right",1,2,4,0.25,0.117647058823529
86,84,"True","r2c2_right",1,"r1c2_bottom_left","r2c3_bottom_left","r1c1_bottom_left",2,1,8,0.25,0.0769230769230769
86,87,"True","r1c2_bottom_right",1,"r2c0_bottom_right","r1c0_bottom_left","r2c3_bottom_left",1,2,6,0.166666666666667,0.133333333333333
86,94,"True","r1c1_bottom_right",0,"r2c1_bottom_left","r2c1_bottom_right","r0c0_right",0,3,6,0,0.2
