participant,trial_count,line_width,line_id,line_orientation
84,87,1.3333,r2c1_right,vertical
84,87,1.6667,r0c2_bottom_left,back_slash
84,87,1.6667,r1c0_bottom_right,forward_slash
84,87,1.6667,r1c3_bottom_left,back_slash
84,87,1.6667,r2c3_bottom_left,back_slash
84,87,1.6667,r3c1_right,vertical
84,88,1.3333,r0c3_bottom_right,forward_slash
84,88,1.3333,r1c0_bottom_left,back_slash
84,88,1.3333,r1c2_bottom_left,back_slash
84,88,1.3333,r1c2_right,vertical
84,88,1.3333,r2c0_bottom_right,forward_slash
84,89,1.6667,r0c1_bottom_left,back_slash
84,89,1.6667,r0c3_bottom_left,back_slash
84,89,1.6667,r1c2_bottom_left,back_slash
84,89,1.6667,r2c0_right,vertical
84,89,1.6667,r2c2_right,vertical
84,90,1.0,r0c2_bottom_right,forward_slash
84,90,1.0,r1c1_bottom_right,forward_slash
84,90,1.3333,r1c1_bottom_left,back_slash
84,90,1.3333,r2c1_bottom_right,forward_slash
84,90,1.3333,r2c3_bottom_right,forward_slash
84,91,1.3333,r1c1_bottom_left,back_slash
84,91,1.3333,r1c2_right,vertical
84,91,1.3333,r2c1_right,vertical
84,92,1.0,r0c0_bottom_right,forward_slash
84,92,1.3333,r0c2_bottom_left,back_slash
84,92,1.3333,r1c0_bottom_left,back_slash
84,92,1.3333,r1c0_right,vertical
84,92,1.3333,r1c3_bottom_left,back_slash
84,92,1.3333,r2c0_bottom_right,forward_slash
84,93,1.0,r2c1_right,vertical
84,93,1.3333,r0c1_bottom_left,back_slash
84,93,1.3333,r0c1_bottom_right,forward_slash
84,94,1.3333,r2c3_bottom_right,forward_slash
84,94,1.6667,r1c2_right,vertical
84,94,1.6667,r2c1_bottom_left,back_slash
84,95,1.0,r3c0_right,vertical
84,95,1.3333,r0c0_right,vertical
84,95,1.3333,r0c2_bottom_right,forward_slash
84,95,1.3333,r1c1_bottom_right,forward_slash
84,96,1.0,r2c2_bottom_right,forward_slash
84,96,1.3333,r1c3_bottom_left,back_slash
84,96,1.3333,r2c2_bottom_left,back_slash
84,96,1.3333,r2c2_right,vertical
84,97,1.0,r0c0_right,vertical
84,97,1.3333,r2c2_right,vertical
84,97,1.6667,r0c1_bottom_left,back_slash
84,97,1.6667,r0c3_bottom_right,forward_slash
84,97,1.6667,r2c3_bottom_left,back_slash
84,98,1.3333,r0c0_right,vertical
84,98,1.3333,r0c3_bottom_right,forward_slash
84,98,1.3333,r1c1_right,vertical
