participant,date,overall_time,trial_count,click_order,prompt_rt_sec,selection_rt_ms,pressed_object,line_width,top_x,top_y,bottom_x,bottom_y,line_id,line_orientation,selected_or_released,accuracy,possible_thinnest_lines,is_practice,is_anomaly_trial,anomaly_mid_x,anomaly_mid_y,anomaly_line_id,anomaly_group
59,2021_Oct_29_1030,0 days 00:09:51.812843000,12,3,21.578121500000634,8254.712,line,1.3333,186.21029877912443,280.0,88.50858231593702,210.32665789452227,r0c2_bottom_right,forward_slash,selected,,4,False,True,-58.043992378844095,245.16332894726114,r0c1_bottom_right,2
59,2021_Oct_29_1030,0 days 00:09:54.184355000,12,4,21.578121500000634,10626.224,submit,,,,,,,,,1.0,4,False,True,-58.043992378844095,245.16332894726114,r0c1_bottom_right,2
59,2021_Oct_29_1030,0 days 00:10:22.511029000,13,1,25.090743499999917,698.653,line,1.0,-204.5965670736252,20.653315789044555,-204.5965670736252,-99.34668421095544,r2c0_right,vertical,selected,,6,False,False,,,,
59,2021_Oct_29_1030,0 days 00:10:24.447007000,13,2,25.090743499999917,2634.631,line,1.3333,-106.8948506104378,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_right,forward_slash,selected,,6,False,False,,,,
59,2021_Oct_29_1030,0 days 00:10:30.286102000,13,3,25.090743499999917,8473.726,line,1.6667,283.91201524231184,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_right,forward_slash,selected,,6,False,False,,,,
59,2021_Oct_29_1030,0 days 00:10:31.304730000,13,4,25.090743499999917,9492.354,submit,,,,,,,,,0.6666666666666666,6,False,False,,,,
59,2021_Oct_29_1030,0 days 00:10:53.842170000,14,1,19.804690300000402,648.405,line,1.3333,283.91201524231184,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_right,forward_slash,selected,,3,False,True,137.3594405475307,-134.1833552636943,r2c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:10:58.346268000,14,2,19.804690300000402,5152.503,line,1.6667,-204.5965670736252,280.0,-106.8948506104378,210.32665789452227,r0c1_bottom_left,back_slash,selected,,3,False,True,137.3594405475307,-134.1833552636943,r2c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:11:07.655888000,14,3,19.804690300000402,14462.123,line,2.0,-106.8948506104378,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_right,forward_slash,selected,,3,False,True,137.3594405475307,-134.1833552636943,r2c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:11:08.741924000,14,4,19.804690300000402,15548.159,submit,,,,,,,,,0.6666666666666666,3,False,True,137.3594405475307,-134.1833552636943,r2c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:11:22.789859000,15,1,10.149698899999748,616.921,line,1.3333,186.21029877912443,-99.34668421095544,283.91201524231184,-169.02002631643316,r2c3_bottom_left,back_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:11:24.889802000,15,2,10.149698899999748,2716.864,line,1.3333,88.50858231593702,90.32665789452227,186.21029877912443,20.653315789044555,r1c2_bottom_left,back_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:11:32.264253000,15,3,10.149698899999748,10091.315,line,1.6667,186.21029877912443,280.0,88.50858231593702,210.32665789452227,r0c2_bottom_right,forward_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:11:34.702051000,15,4,10.149698899999748,12529.113,submit,,,,,,,,,0.6666666666666666,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:12:03.178970000,16,1,26.727560799999992,849.277,line,1.3333,-9.19313414725039,-99.34668421095544,88.50858231593702,-169.02002631643316,r2c2_bottom_left,back_slash,selected,,3,False,False,,,,
