"participant","trial_count","line_width","line_id","line_orientation","drop_marker"
78,23,1.3333,"r1c0_bottom_right","forward_slash","78_23"
78,23,1.3333,"r2c0_right","vertical","78_23"
78,24,1,"r1c2_right","vertical","78_24"
78,24,1.3333,"r2c1_right","vertical","78_24"
78,24,1.6667,"r0c0_bottom_right","forward_slash","78_24"
78,24,1.6667,"r0c1_bottom_right","forward_slash","78_24"
78,24,1.6667,"r0c2_bottom_right","forward_slash","78_24"
78,24,1.6667,"r0c3_bottom_right","forward_slash","78_24"
78,24,1.6667,"r1c1_bottom_left","back_slash","78_24"
78,24,1.6667,"r2c1_bottom_right","forward_slash","78_24"
78,24,1.6667,"r2c2_right","vertical","78_24"
78,25,1.6667,"r3c0_right","vertical","78_25"
78,25,2,"r0c1_bottom_left","back_slash","78_25"
78,25,2,"r0c2_bottom_left","back_slash","78_25"
78,25,2,"r1c1_bottom_right","forward_slash","78_25"
78,25,2,"r2c1_bottom_left","back_slash","78_25"
78,25,2,"r2c2_bottom_left","back_slash","78_25"
78,25,2,"r3c2_right","vertical","78_25"
78,26,1,"r0c2_right","vertical","78_26"
78,26,1.3333,"r0c0_right","vertical","78_26"
78,26,1.3333,"r2c1_right","vertical","78_26"
78,27,1.3333,"r1c0_right","vertical","78_27"
78,27,1.3333,"r2c0_bottom_right","forward_slash","78_27"
78,27,1.3333,"r2c1_bottom_left","back_slash","78_27"
78,29,1,"r2c2_bottom_left","back_slash","78_29"
78,29,1.3333,"r0c1_right","vertical","78_29"
78,29,1.3333,"r1c2_bottom_right","forward_slash","78_29"
78,29,1.3333,"r1c2_right","vertical","78_29"
78,30,1,"r0c2_right","vertical","78_30"
78,30,1.6667,"r0c2_bottom_left","back_slash","78_30"
78,30,1.6667,"r0c3_bottom_left","back_slash","78_30"
78,30,1.6667,"r1c2_bottom_left","back_slash","78_30"
78,30,1.6667,"r3c0_right","vertical","78_30"
78,31,1,"r2c2_bottom_right","forward_slash","78_31"
78,31,1.3333,"r0c2_bottom_right","forward_slash","78_31"
78,31,1.3333,"r1c0_bottom_left","back_slash","78_31"
78,32,1,"r1c2_bottom_left","back_slash","78_32"
78,32,1.3333,"r1c2_right","vertical","78_32"
78,32,2,"r0c1_bottom_right","forward_slash","78_32"
78,32,2,"r0c2_right","vertical","78_32"
78,32,2,"r1c1_bottom_left","back_slash","78_32"
78,32,2,"r1c2_bottom_right","forward_slash","78_32"
78,32,2,"r2c2_right","vertical","78_32"
78,32,2,"r3c2_right","vertical","78_32"
78,33,1,"r1c0_right","vertical","78_33"
78,33,1,"r2c0_bottom_right","forward_slash","78_33"
78,33,1.3333,"r1c1_right","vertical","78_33"
78,33,1.3333,"r2c3_bottom_left","back_slash","78_33"
78,34,1.3333,"r1c1_bottom_right","forward_slash","78_34"
78,34,1.3333,"r1c3_bottom_left","back_slash","78_34"
78,34,1.3333,"r2c3_bottom_left","back_slash","78_34"
78,34,1.3333,"r3c2_right","vertical","78_34"
78,35,1,"r0c0_right","vertical","78_35"
78,35,1.6667,"r1c0_bottom_left","back_slash","78_35"
78,35,1.6667,"r1c2_right","vertical","78_35"
78,35,1.6667,"r2c1_right","vertical","78_35"
78,36,1.3333,"r1c1_bottom_right","forward_slash","78_36"
78,36,1.3333,"r1c1_right","vertical","78_36"
78,36,1.6667,"r0c0_right","vertical","78_36"
78,36,1.6667,"r2c2_bottom_right","forward_slash","78_36"
78,36,1.6667,"r3c1_right","vertical","78_36"
78,37,1,"r1c2_bottom_left","back_slash","78_37"
78,37,2,"r1c0_bottom_right","forward_slash","78_37"
78,37,2,"r1c2_bottom_right","forward_slash","78_37"
78,37,2,"r2c0_bottom_right","forward_slash","78_37"
78,37,2,"r2c1_right","vertical","78_37"
78,38,1,"r0c0_bottom_right","forward_slash","78_38"
78,38,1.3333,"r0c3_bottom_left","back_slash","78_38"
78,38,1.3333,"r2c1_bottom_left","back_slash","78_38"
78,38,1.3333,"r2c2_bottom_right","forward_slash","78_38"
78,39,1.3333,"r1c0_bottom_right","forward_slash","78_39"
78,39,1.3333,"r2c1_bottom_left","back_slash","78_39"
78,39,1.6667,"r0c0_right","vertical","78_39"
78,39,1.6667,"r0c1_right","vertical","78_39"
78,39,1.6667,"r1c1_bottom_left","back_slash","78_39"
78,39,1.6667,"r1c2_right","vertical","78_39"
78,39,1.6667,"r2c0_right","vertical","78_39"
78,40,1,"r1c3_bottom_left","back_slash","78_40"
78,40,1,"r2c1_right","vertical","78_40"
78,40,1.3333,"r0c0_right","vertical","78_40"
78,40,1.3333,"r2c0_right","vertical","78_40"
78,40,1.3333,"r2c2_right","vertical","78_40"
78,41,1.3333,"r0c3_bottom_left","back_slash","78_41"
78,41,1.3333,"r2c2_bottom_left","back_slash","78_41"
78,41,1.6667,"r0c0_right","vertical","78_41"
78,41,1.6667,"r2c1_bottom_right","forward_slash","78_41"
78,41,1.6667,"r3c0_right","vertical","78_41"
78,41,1.6667,"r3c2_right","vertical","78_41"
78,42,1.3333,"r0c2_right","vertical","78_42"
78,42,1.3333,"r2c2_bottom_right","forward_slash","78_42"
78,42,1.6667,"r1c1_bottom_right","forward_slash","78_42"
78,42,1.6667,"r2c2_bottom_left","back_slash","78_42"
78,43,1.3333,"r0c1_right","vertical","78_43"
78,43,1.6667,"r3c2_right","vertical","78_43"
78,43,2,"r0c1_bottom_left","back_slash","78_43"
78,43,2,"r1c0_right","vertical","78_43"
78,43,2,"r2c3_bottom_left","back_slash","78_43"
78,44,1.3333,"r2c3_bottom_left","back_slash","78_44"
78,44,1.3333,"r3c0_right","vertical","78_44"
78,44,1.6667,"r1c0_bottom_left","back_slash","78_44"
78,45,1.3333,"r2c2_right","vertical","78_45"
78,45,1.6667,"r1c2_right","vertical","78_45"
78,45,1.6667,"r2c2_bottom_right","forward_slash","78_45"
78,45,1.6667,"r3c1_right","vertical","78_45"
78,46,1,"r1c2_right","vertical","78_46"
78,46,1.3333,"r0c0_right","vertical","78_46"
78,46,1.3333,"r0c3_bottom_right","forward_slash","78_46"
78,46,1.3333,"r1c3_bottom_left","back_slash","78_46"
78,47,1,"r0c0_right","vertical","78_47"
78,47,1.3333,"r1c0_bottom_right","forward_slash","78_47"
78,47,1.3333,"r2c0_right","vertical","78_47"
78,48,1.3333,"r1c3_bottom_left","back_slash","78_48"
78,48,1.3333,"r2c0_bottom_right","forward_slash","78_48"
78,48,1.3333,"r2c1_right","vertical","78_48"
78,49,1.3333,"r0c1_bottom_left","back_slash","78_49"
78,49,1.3333,"r1c0_bottom_left","back_slash","78_49"
78,49,1.6667,"r2c3_bottom_left","back_slash","78_49"
78,50,1,"r2c2_bottom_left","back_slash","78_50"
78,50,1.3333,"r0c0_bottom_right","forward_slash","78_50"
78,50,1.3333,"r0c0_right","vertical","78_50"
78,50,1.3333,"r0c3_bottom_left","back_slash","78_50"
78,50,1.3333,"r2c2_bottom_right","forward_slash","78_50"
78,51,1.3333,"r1c0_bottom_left","back_slash","78_51"
78,51,1.3333,"r1c1_bottom_left","back_slash","78_51"
78,51,1.3333,"r1c1_bottom_right","forward_slash","78_51"
78,51,1.3333,"r2c1_right","vertical","78_51"
78,52,1,"r2c2_right","vertical","78_52"
78,52,1,"r3c0_right","vertical","78_52"
78,52,1.3333,"r1c0_bottom_left","back_slash","78_52"
78,52,1.3333,"r1c2_right","vertical","78_52"
78,53,1.3333,"r1c3_bottom_left","back_slash","78_53"
78,53,1.3333,"r2c0_bottom_right","forward_slash","78_53"
78,53,1.6667,"r0c3_bottom_right","forward_slash","78_53"
78,53,1.6667,"r2c1_bottom_left","back_slash","78_53"
78,53,1.6667,"r2c2_bottom_left","back_slash","78_53"
78,53,1.6667,"r3c2_right","vertical","78_53"
78,54,1,"r2c1_bottom_left","back_slash","78_54"
78,54,1.3333,"r0c2_bottom_left","back_slash","78_54"
78,54,1.3333,"r1c0_right","vertical","78_54"
78,54,1.3333,"r1c1_bottom_right","forward_slash","78_54"
78,54,1.3333,"r2c3_bottom_left","back_slash","78_54"
78,55,1,"r0c0_right","vertical","78_55"
78,55,1.3333,"r1c1_right","vertical","78_55"
78,55,2,"r0c1_bottom_right","forward_slash","78_55"
78,55,2,"r2c2_bottom_left","back_slash","78_55"
78,55,2,"r2c2_bottom_right","forward_slash","78_55"
78,56,1,"r2c1_bottom_left","back_slash","78_56"
78,56,1.3333,"r1c0_bottom_left","back_slash","78_56"
78,56,1.3333,"r3c1_right","vertical","78_56"
78,57,1.3333,"r0c1_bottom_left","back_slash","78_57"
78,57,1.3333,"r2c1_bottom_right","forward_slash","78_57"
78,57,1.6667,"r0c0_bottom_right","forward_slash","78_57"
78,57,1.6667,"r1c0_bottom_right","forward_slash","78_57"
