"participant","date","overall_time","trial_count","click_order","prompt_rt_sec","selection_rt_ms","pressed_object","line_width","top_x","top_y","bottom_x","bottom_y","line_id","line_orientation","selected_or_released","accuracy","possible_thinnest_lines","is_practice"
90,"2021_Sep_22_1505","0 days 00:06:10.033228000",12,3,1.32049270000425,5002.871,"line",1.3333,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:06:11.167507000",12,4,1.32049270000425,6137.15,"line",1.3333,-204.596567073625,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_left","back_slash","released",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:06:13.553692000",12,5,1.32049270000425,8523.335,"line",1.3333,88.508582315937,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_left","back_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:06:14.656251000",12,6,1.32049270000425,9625.894,"submit",NA,NA,NA,NA,NA,"","","",1,5,"False"
90,"2021_Sep_22_1505","0 days 00:06:21.510204000",13,1,5.58324860001449,646.572,"line",1.3333,186.210298779124,20.6533157890446,186.210298779124,-99.3466842109554,"r2c2_right","vertical","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:06:22.811630000",13,2,5.58324860001449,1947.998,"line",1.6667,-9.19313414725039,280,88.508582315937,210.326657894522,"r0c2_bottom_left","back_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:06:23.679988000",13,3,5.58324860001449,2816.356,"line",1.6667,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:06:25.083543000",13,4,5.58324860001449,4219.911,"submit",NA,NA,NA,NA,NA,"","","",1,3,"False"
90,"2021_Sep_22_1505","0 days 00:06:27.150196000",14,1,0.939284299995052,481.221,"line",1,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:06:30.102130000",14,2,0.939284299995052,3433.155,"line",1.3333,-9.19313414725039,280,88.508582315937,210.326657894522,"r0c2_bottom_left","back_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:06:32.504768000",14,3,0.939284299995052,5835.793,"line",1.6667,-204.596567073625,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_left","back_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:06:33.807458000",14,4,0.939284299995052,7138.483,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,4,"False"
90,"2021_Sep_22_1505","0 days 00:06:36.459724000",15,1,1.30028609998408,296.878,"line",1,-9.19313414725039,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_right","forward_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:06:40.864034000",15,2,1.30028609998408,4701.188,"line",1.6667,88.508582315937,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_left","back_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:06:44.764637000",15,3,1.30028609998408,8601.791,"line",1.6667,-204.596567073625,280,-302.298283536813,210.326657894522,"r0c0_bottom_right","forward_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:06:48.840444000",15,4,1.30028609998408,12677.598,"submit",NA,NA,NA,NA,NA,"","","",1,5,"False"
90,"2021_Sep_22_1505","0 days 00:06:53.527173000",16,1,1.23277920001419,2700.459,"line",1.3333,88.508582315937,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_left","back_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:06:56.696475000",16,2,1.23277920001419,5869.761,"line",1.6667,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:05.171938000",16,3,1.23277920001419,14345.224,"line",1.3333,186.210298779124,20.6533157890446,186.210298779124,-99.3466842109554,"r2c2_right","vertical","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:05.906602000",16,4,1.23277920001419,15079.888,"submit",NA,NA,NA,NA,NA,"","","",1,5,"False"
90,"2021_Sep_22_1505","0 days 00:07:08.492052000",17,1,0.754501599993091,581.646,"line",1.3333,-9.19313414725039,280,88.508582315937,210.326657894522,"r0c2_bottom_left","back_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:07:09.325845000",17,2,0.754501599993091,1415.439,"line",1,186.210298779124,280,283.912015242312,210.326657894522,"r0c3_bottom_left","back_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:07:19.469242000",17,3,0.754501599993091,11558.836,"line",2,186.210298779124,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:07:20.588393000",17,4,0.754501599993091,12677.987,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,4,"False"
90,"2021_Sep_22_1505","0 days 00:07:24.257313000",18,1,0.976582600007532,2049.86,"line",1.3333,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:07:27.527075000",18,2,0.976582600007532,5319.622,"line",2,186.210298779124,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_right","forward_slash","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:07:29.965491000",18,3,0.976582600007532,7758.038,"line",1.6667,-106.894850610438,210.326657894522,-106.894850610438,90.3266578945223,"r1c0_right","vertical","selected",NA,3,"False"
90,"2021_Sep_22_1505","0 days 00:07:33.151609000",18,4,0.976582600007532,10944.156,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,3,"False"
